"","locs2","Column","dates","notice","status","landref","locs","document","dates2","landref_cl","monthlies","duplic","lat","long","county","monthcats","vars"
"1","Baringo",4577,2016-04-22,"GAZETTENOTICENO2785","Lost","Baringo/ Kewamoi  A/ 620","district of Baringo","Land Title Deed","22April2016","Baringo/Kewamoi  A/620","Apr2016",TRUE,0.6320551,36.0567202,"Baringo","Jan - May, 2016",1
"2","Baringo Central",6442,2015-01-30,"GAZETTENOTICENO512-603","Lost","Baringo/ Kapropita/ 712","district of Baringo Central","Land Title Deed","30January2015","Baringo/Kapropita/712","Jan2015",FALSE,-1.2979914,36.8620588,"Baringo","Jan - Apr, 2015",1
"3","Baringo Central",2002,2014-10-10,"GAZETTENOTICENO7154","Lost","Baringo/ Kewamoi' A7830","district of Baringo Central","Land Title Deed","10October2014","Baringo/Kewamoi' A7830","Oct2014",TRUE,-1.2979914,36.8620588,"Baringo","Sep - Dec, 2014",1
"4","Baringo Central",2586,2015-02-13,"GAZETTENOTICENO887","Lost","Baringo/ Kewamoi  A/ 1012","district of Baringo Central","Land Title Deed","13February2015","Baringo/Kewamoi  A/1012","Feb2015",TRUE,-1.2979914,36.8620588,"Baringo","Jan - Apr, 2015",1
"5","Baringo Central",2141,2014-07-11,"GAZETTENOTICENO4679","Lost","Baringo/ Kewamoi  A/ 2761","district of Baringo Central","Land Title Deed","11July2014","Baringo/Kewamoi  A/2761","Jul2014",TRUE,-1.2979914,36.8620588,"Baringo","Apr - Aug, 2014",1
"6","Baringo Central",2001,2014-10-10,"GAZETTENOTICENO7153","Lost","Baringo/ Mochongoi Block 1/ 1184","district of Baringo Central","Land Title Deed","10October2014","Baringo/Mochongoi Block 1/1184","Oct2014",TRUE,-1.2979914,36.8620588,"Baringo","Sep - Dec, 2014",1
"7","Baringo Central",4725,2016-01-22,"GAZETTENOTICENO291","Lost","Baringo/ Mochongoi Block I/ 1086","district of Baringo Central","Land Title Deed","22January2016","Baringo/Mochongoi Block I/1086","Jan2016",TRUE,-1.2979914,36.8620588,"Baringo","Jan - May, 2016",1
"8","Baringo Central",2270,2015-09-11,"GAZETTENOTICENO6619-6690","Lost","Chapchap/ Kituro/ 553","district of Baringo Central","Land Title Deed","11September2015","Chapchap/Kituro/553","Sep2015",TRUE,-1.2979914,36.8620588,"Baringo","Sep - Dec, 2015",1
"9","Baringo Central",6517,2014-05-30,"GAZETTENOTICENO3656","Lost","no. baringo/ kewamoi  a/ 499","district of Baringo Central","Land Title Deed","30May2014","no. baringo/kewamoi  a/499","May2014",TRUE,-1.2979914,36.8620588,"Baringo","Apr - Aug, 2014",1
"10","Baringo Central",443,2015-07-03,"GAZETTENOTICENO4763","Lost","Pokor/ Keben/ Tenges/ 428","district of Baringo Central","Land Title Deed","03July2015","Pokor/Keben/Tenges/428","Jul2015",TRUE,-1.2979914,36.8620588,"Baringo","May - Aug, 2015",1
"11","Baringo Central",6331,2015-05-29,"GAZETTENOTICENO3842","Lost","Sacho/ Kabasis/ 304","district of Baringo Central","Land Title Deed","29May2015","Sacho/Kabasis/304","May2015",TRUE,-1.2979914,36.8620588,"Baringo","May - Aug, 2015",1
"12","Baringo Central",4726,2016-01-22,"GAZETTENOTICENO292","Lost","Saimo/ Kasist/ 332","district of Baringo Central","Land Title Deed","22January2016","Saimo/Kasist/332","Jan2016",TRUE,-1.2979914,36.8620588,"Baringo","Jan - May, 2016",1
"13","Bomet",707,2014-12-05,"GAZETTENOTICENO8696-8782","Lost","Kericho/ Chesoen/ 1526","district of Bomet","Land Title Deed","05December2014","Kericho/Chesoen/1526","Dec2014",TRUE,-0.7777854,35.3356518,"Bomet","Sep - Dec, 2014",1
"14","Bomet",5850,2015-03-27,"GAZETTENOTICENO1997","Lost","Kericho/ Mogogosiek/ 2276","district of Bomet","Land Title Deed","27March2015","Kericho/Mogogosiek/2276","Mar2015",TRUE,-0.7777854,35.3356518,"Bomet","Jan - Apr, 2015",1
"15","Bomet",2052,2014-12-11,"GAZETTENOTICENO8897-8963","Lost","Kericho/ Olokyin/ 58","district of Bomet","Land Title Deed","11December2014","Kericho/Olokyin/58","Dec2014",TRUE,-0.7777854,35.3356518,"Bomet","Sep - Dec, 2014",1
"16","Bomet",5117,2015-12-24,"GAZETTENOTICENO9499","Lost","Kericho/ Silibwet/ 72","district of Bomet","Land Title Deed","24December2015","Kericho/Silibwet/72","Dec2015",TRUE,-0.7777854,35.3356518,"Bomet","Sep - Dec, 2015",1
"17","Bondo",1404,2014-11-07,"GAZETTENOTICENO8027","Lost","Asembo/ Nyagoko/ 1189","district of Bondo","Land Title Deed","07November2014","Asembo/Nyagoko/1189","Nov2014",FALSE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2014",1
"18","Bondo",2269,2015-09-11,"GAZETTENOTICENO6619-6690","Lost","Asembo/ Ramba/ 1391","district of Bondo","Land Title Deed","11September2015","Asembo/Ramba/1391","Sep2015",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2015",1
"19","Bondo",2524,2014-09-12,"GAZETTENOTICENO6323-6375","Lost","Asembo/ Ramba/ 4193","district of Bondo","Land Title Deed","12September2014","Asembo/Ramba/4193","Sep2014",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2014",1
"20","Bondo",3212,2015-01-16,"GAZETTENOTICENO194-245","Unknown","Asembo/ Ramba/ 4524 and 4523","district of Bondo","Land Title Deed","16January2015","Asembo/Ramba/4524 and 4523","Jan2015",TRUE,-0.1003371,34.2754988,"Siaya","Jan - Apr, 2015",0
"21","Bondo",5790,2014-06-27,"GAZETTENOTICENO4319","Lost","Asembo/ Siger/ 350","district of Bondo","Land Title Deed","27June2014","Asembo/Siger/350","Jun2014",TRUE,-0.1003371,34.2754988,"Siaya","Apr - Aug, 2014",1
"22","Bondo",4648,2014-08-22,"GAZETTENOTICENO5777","Lost","East Asembo/ Ramba/ 4905","district of Bondo","Land Title Deed","22August2014","East Asembo/Ramba/4905","Aug2014",TRUE,-0.1003371,34.2754988,"Siaya","Apr - Aug, 2014",1
"23","Bondo",570,2016-03-04,"GAZETTENOTICENO1370","Unknown","Sakwa/ Barkowino/ 3450","district of Bondo","Land Title Deed","04March2016","Sakwa/Barkowino/3450","Mar2016",TRUE,-0.1003371,34.2754988,"Siaya","Jan - May, 2016",0
"24","Bondo",3968,2015-02-20,"GAZETTENOTICENO1103","Lost","Sakwa/ Nyawita/ 117","district of Bondo","Land Title Deed","20February2015","Sakwa/Nyawita/117","Feb2015",TRUE,-0.1003371,34.2754988,"Siaya","Jan - Apr, 2015",1
"25","Bondo",1697,2015-05-08,"GAZETTENOTICENO3151-3261","Lost","Sakwa/ Nyawita/ 1189","district of Bondo","Land Title Deed","08May2015","Sakwa/Nyawita/1189","May2015",TRUE,-0.1003371,34.2754988,"Siaya","May - Aug, 2015",1
"26","Bondo",5368,2014-10-24,"GAZETTENOTICENO7636","Lost","Siaya Got Agulu/ 882","district of Bondo","Land Title Deed","24October2014","Siaya Got Agulu/882","Oct2014",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2014",1
"27","Bondo",6329,2015-05-29,"GAZETTENOTICENO3842","Lost","Siaya/ Abom/ 1088","district of Bondo","Land Title Deed","29May2015","Siaya/Abom/1088","May2015",TRUE,-0.1003371,34.2754988,"Siaya","May - Aug, 2015",1
"28","Bondo",3815,2015-06-19,"GAZETTENOTICENO4363","Lost","Siaya/ Abom/ 1789","district of Bondo","Land Title Deed","19June2015","Siaya/Abom/1789","Jun2015",TRUE,-0.1003371,34.2754988,"Siaya","May - Aug, 2015",1
"29","Bondo",709,2014-12-05,"GAZETTENOTICENO8696-8782","Lost","Siaya/ Kagwa/ 1218","district of Bondo","Land Title Deed","05December2014","Siaya/Kagwa/1218","Dec2014",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2014",1
"30","Bondo",710,2014-12-05,"GAZETTENOTICENO8696-8782","Lost","Siaya/ Kagwa/ 1419","district of Bondo","Land Title Deed","05December2014","Siaya/Kagwa/1419","Dec2014",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2014",1
"31","Bondo",708,2014-12-05,"GAZETTENOTICENO8696-8782","Lost","Siaya/ Kagwa/ 1444","district of Bondo","Land Title Deed","05December2014","Siaya/Kagwa/1444","Dec2014",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2014",1
"32","Bondo",5202,2015-07-24,"GAZETTENOTICENO5362","Lost","Siaya/ Kokwiri/ 1303","district of Bondo","Green Card","24July2015","Siaya/Kokwiri/1303","Jul2015",TRUE,-0.1003371,34.2754988,"Siaya","May - Aug, 2015",1
"33","Bondo",6681,2015-07-31,"GAZETTENOTICENO5549-5636","Lost","Siaya/ Memba/ 1635","district of Bondo","Land Title Deed","31July2015","Siaya/Memba/1635","Jul2015",TRUE,-0.1003371,34.2754988,"Siaya","May - Aug, 2015",1
"34","Bondo",4961,2014-05-23,"GAZETTENOTICENO3445","Lost","Siaya/ Nyagoko/ 1875","district of Bondo","Green Card","23May2014","Siaya/Nyagoko/1875","May2014",TRUE,-0.1003371,34.2754988,"Siaya","Apr - Aug, 2014",1
"35","Bondo",2140,2014-07-11,"GAZETTENOTICENO4678","Lost","Siaya/ Nyaguda/ 5235","district of Bondo","Land Title Deed","11July2014","Siaya/Nyaguda/5235","Jul2014",TRUE,-0.1003371,34.2754988,"Siaya","Apr - Aug, 2014",1
"36","Bondo",3967,2015-02-20,"GAZETTENOTICENO1103","Lost","Siaya/ Ramba/ 4240","district of Bondo","Land Title Deed","20February2015","Siaya/Ramba/4240","Feb2015",TRUE,-0.1003371,34.2754988,"Siaya","Jan - Apr, 2015",1
"37","Bondo",2463,2015-06-12,"GAZETTENOTICENO4231-4313","Lost","Siaya/ Ramba/ 4402","district of Bondo","Land Title Deed","12June2015","Siaya/Ramba/4402","Jun2015",TRUE,-0.1003371,34.2754988,"Siaya","May - Aug, 2015",1
"38","Bondo",6085,2014-11-28,"GAZETTENOTICENO8576-8636","Lost","South Sakwa/ Barkowini/ 4112","district of Bondo","Land Title Deed","28November2014","South Sakwa/Barkowini/4112","Nov2014",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2014",1
"39","Bondo",1212,2015-11-06,"GAZETTENOTICENO8242","Lost","South Sakwa/ Barkowino/ 1166","district of Bondo","Land Title Deed","06November2015","South Sakwa/Barkowino/1166","Nov2015",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2015",1
"40","Bondo",1211,2015-11-06,"GAZETTENOTICENO8242","Lost","South Sakwa/ Barkowino/ 1321","district of Bondo","Land Title Deed","06November2015","South Sakwa/Barkowino/1321","Nov2015",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2015",1
"41","Bondo",5984,2015-08-28,"GAZETTENOTICENO6318","Lost","South Sakwa/ Barkowino/ 2357","district of Bondo","Land Title Deed","28August2015","South Sakwa/Barkowino/2357","Aug2015",TRUE,-0.1003371,34.2754988,"Siaya","May - Aug, 2015",1
"42","Bondo",6199,2014-08-29,"GAZETTENOTICENO6027","Lost","South Sakwa/ Barkowino/ 3069","district of Bondo","Land Title Deed","29August2014","South Sakwa/Barkowino/3069","Aug2014",TRUE,-0.1003371,34.2754988,"Siaya","Apr - Aug, 2014",1
"43","Bondo",1547,2016-04-08,"GAZETTENOTICENO2407","Lost","South Sakwa/ Barkowino/ 3080","district of Bondo","Land Title Deed","08April2016","South Sakwa/Barkowino/3080","Apr2016",TRUE,-0.1003371,34.2754988,"Siaya","Jan - May, 2016",1
"44","Bondo",3816,2015-06-19,"GAZETTENOTICENO4363","Lost","South Sakwa/ Barkowino/ 3104","district of Bondo","Land Title Deed","19June2015","South Sakwa/Barkowino/3104","Jun2015",TRUE,-0.1003371,34.2754988,"Siaya","May - Aug, 2015",1
"45","Bondo",3817,2015-06-19,"GAZETTENOTICENO4363","Lost","South Sakwa/ Barkowino/ 3222","district of Bondo","Land Title Deed","19June2015","South Sakwa/Barkowino/3222","Jun2015",TRUE,-0.1003371,34.2754988,"Siaya","May - Aug, 2015",1
"46","Bondo",5195,2015-07-24,"GAZETTENOTICENO5290","Lost","South Sakwa/ Barkowino/ 3277","district of Bondo","Green Card","24July2015","South Sakwa/Barkowino/3277","Jul2015",TRUE,-0.1003371,34.2754988,"Siaya","May - Aug, 2015",1
"47","Bondo",5821,2015-03-27,"GAZETTENOTICENO1997","Lost","South Sakwa/ Barkowino/ 3302","district of Bondo","Land Title Deed","27March2015","South Sakwa/Barkowino/3302","Mar2015",TRUE,-0.1003371,34.2754988,"Siaya","Jan - Apr, 2015",1
"48","Bondo",1610,2016-01-08,"GAZETTENOTICENO30","Lost","South Sakwa/ Barkowino/ 3598","district of Bondo","Land Title Deed","08January2016","South Sakwa/Barkowino/3598","Jan2016",TRUE,-0.1003371,34.2754988,"Siaya","Jan - May, 2016",1
"49","Bondo",925,2014-09-05,"GAZETTENOTICENO6166","Lost","South Sakwa/ Barkowino/ 3989","district of Bondo","Land Title Deed","05September2014","South Sakwa/Barkowino/3989","Sep2014",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2014",1
"50","Bondo",6198,2014-08-29,"GAZETTENOTICENO6026","Lost","South Sakwa/ Barkowino/ 4118","district of Bondo","Land Title Deed","29August2014","South Sakwa/Barkowino/4118","Aug2014",TRUE,-0.1003371,34.2754988,"Siaya","Apr - Aug, 2014",1
"51","Bondo",5823,2015-03-27,"GAZETTENOTICENO1997","Lost","South Sakwa/ Barkowino/ 4176","district of Bondo","Land Title Deed","27March2015","South Sakwa/Barkowino/4176","Mar2015",TRUE,-0.1003371,34.2754988,"Siaya","Jan - Apr, 2015",1
"52","Bondo",3814,2015-06-19,"GAZETTENOTICENO4363","Lost","South Sakwa/ Barkowino/ 4497","district of Bondo","Land Title Deed","19June2015","South Sakwa/Barkowino/4497","Jun2015",TRUE,-0.1003371,34.2754988,"Siaya","May - Aug, 2015",1
"53","Bondo",1609,2016-01-08,"GAZETTENOTICENO3","Unknown","South Sakwa/ Barkowino/ 4566 and West Asembo/ Siger/ 2198","district of Bondo","Land Title Deed","08January2016","South Sakwa/Barkowino/4566 and West Asembo/Siger/2198","Jan2016",TRUE,-0.1003371,34.2754988,"Siaya","Jan - May, 2016",0
"54","Bondo",4218,2015-11-20,"GAZETTENOTICENO8666","Lost","South Sakwa/ Barkowino/ 485","district of Bondo","Land Title Deed","20November2015","South Sakwa/Barkowino/485","Nov2015",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2015",1
"55","Bondo",3917,2014-09-19,"GAZETTENOTICENO6475-6554","Lost","South Sakwa/ Barkowino/ 5045","district of Bondo","Land Title Deed","19September2014","South Sakwa/Barkowino/5045","Sep2014",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2014",1
"56","Bondo",5366,2014-10-24,"GAZETTENOTICENO7628","Lost","South Sakwa/ Barkowino/ 5225","district of Bondo","Land Title Deed","24October2014","South Sakwa/Barkowino/5225","Oct2014",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2014",1
"57","Bondo",1900,2015-04-10,"GAZETTENOTICENO2340","Lost","South Sakwa/ Barkowino/ 5915","district of Bondo","Land Title Deed","10April2015","South Sakwa/Barkowino/5915","Apr2015",TRUE,-0.1003371,34.2754988,"Siaya","Jan - Apr, 2015",1
"58","Bondo",2632,2014-06-13,"GAZETTENOTICENO3931","Lost","South Sakwa/ Barkowino/ 6017","district of Bondo","Land Title Deed","13June2014","South Sakwa/Barkowino/6017","Jun2014",TRUE,-0.1003371,34.2754988,"Siaya","Apr - Aug, 2014",1
"59","Bondo",2268,2015-09-11,"GAZETTENOTICENO6619-6690","Lost","South Sakwa/ Barkowino/ 6223","district of Bondo","Land Title Deed","11September2015","South Sakwa/Barkowino/6223","Sep2015",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2015",1
"60","Bondo",5822,2015-03-27,"GAZETTENOTICENO1997","Lost","South Sakwa/ Barkowino/ 7492","district of Bondo","Land Title Deed","27March2015","South Sakwa/Barkowino/7492","Mar2015",TRUE,-0.1003371,34.2754988,"Siaya","Jan - Apr, 2015",1
"61","Bondo",6370,2015-04-30,"GAZETTENOTICENO2941","Lost","South Sakwa/ Migwena/ 1184","district of Bondo","Land Title Deed","30April2015","South Sakwa/Migwena/1184","Apr2015",TRUE,-0.1003371,34.2754988,"Siaya","Jan - Apr, 2015",1
"62","Bondo",6086,2014-11-28,"GAZETTENOTICENO8576-8636","Lost","South Sakwa/ Migwena/ 381","district of Bondo","Land Title Deed","28November2014","South Sakwa/Migwena/381","Nov2014",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2014",1
"63","Bondo",3528,2014-07-18,"GAZETTENOTICENO4952","Lost","th Sakwa/ Abom/ 3589","district of Bondo","Land Title Deed","18July2014","th Sakwa/Abom/3589","Jul2014",TRUE,-0.1003371,34.2754988,"Siaya","Apr - Aug, 2014",1
"64","Bondo",2526,2014-09-12,"GAZETTENOTICENO6323-6375","Lost","th Sakwa/ Ajigo/ 1086","district of Bondo","Land Title Deed","12September2014","th Sakwa/Ajigo/1086","Sep2014",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2014",1
"65","Bondo",5741,2015-02-27,"GAZETTENOTICENO1242","Lost","th Sakwa/ Ajigo/ 1153 and 1207","district of Bondo","Land Title Deed","27February2015","th Sakwa/Ajigo/1153 and 1207","Feb2015",TRUE,-0.1003371,34.2754988,"Siaya","Jan - Apr, 2015",1
"66","Bondo",4216,2015-11-20,"GAZETTENOTICENO8664","Lost","th Sakwa/ Ajigo/ 1280","district of Bondo","Land Title Deed","20November2015","th Sakwa/Ajigo/1280","Nov2015",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2015",1
"67","Bondo",5742,2015-02-27,"GAZETTENOTICENO1242","Lost","th Sakwa/ Ajigo/ 2164","district of Bondo","Land Title Deed","27February2015","th Sakwa/Ajigo/2164","Feb2015",TRUE,-0.1003371,34.2754988,"Siaya","Jan - Apr, 2015",1
"68","Bondo",1056,2014-06-06,"GAZETTENOTICENO3813","Lost","th Sakwa/ Ajigo/ 2329","district of Bondo","Land Title Deed","06June2014","th Sakwa/Ajigo/2329","Jun2014",TRUE,-0.1003371,34.2754988,"Siaya","Apr - Aug, 2014",1
"69","Bondo",2139,2014-07-11,"GAZETTENOTICENO4677","Lost","th Sakwa/ Ajigo/ 62","district of Bondo","Land Title Deed","11July2014","th Sakwa/Ajigo/62","Jul2014",TRUE,-0.1003371,34.2754988,"Siaya","Apr - Aug, 2014",1
"70","Bondo",6273,2016-01-29,"GAZETTENOTICENO452","Lost","th Sakwa/ Maranda/ 1204","district of Bondo","Land Title Deed","29January2016","th Sakwa/Maranda/1204","Jan2016",TRUE,-0.1003371,34.2754988,"Siaya","Jan - May, 2016",1
"71","Bondo",500,2014-10-03,"GAZETTENOTICENO6907","Lost","th Sakwa/ Maranda/ 1691","district of Bondo","Land Title Deed","03October2014","th Sakwa/Maranda/1691","Oct2014",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2014",1
"72","Bondo",5902,2015-11-27,"GAZETTENOTICENO8841","Lost","th Sakwa/ Maranda/ 1725","district of Bondo","Land Title Deed","27November2015","th Sakwa/Maranda/1725","Nov2015",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2015",1
"73","Bondo",547,2014-07-04,"GAZETTENOTICENO4532","Lost","th Sakwa/ Maranda/ 1884","district of Bondo","Land Title Deed","04July2014","th Sakwa/Maranda/1884","Jul2014",TRUE,-0.1003371,34.2754988,"Siaya","Apr - Aug, 2014",1
"74","Bondo",333,2015-10-02,"GAZETTENOTICENO7295","Lost","th Sakwa/ Maranda/ 1956","district of Bondo","Land Title Deed","02October2015","th Sakwa/Maranda/1956","Oct2015",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2015",1
"75","Bondo",3275,2015-10-16,"GAZETTENOTICENO7779","Lost","th Sakwa/ Nyawita/ 1096","district of Bondo","Land Title Deed","16October2015","th Sakwa/Nyawita/1096","Oct2015",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2015",1
"76","Bondo",3211,2015-01-16,"GAZETTENOTICENO194-245","Lost","th Sakwa/ Nyawita/ 1407","district of Bondo","Land Title Deed","16January2015","th Sakwa/Nyawita/1407","Jan2015",TRUE,-0.1003371,34.2754988,"Siaya","Jan - Apr, 2015",1
"77","Bondo",4217,2015-11-20,"GAZETTENOTICENO8665","Lost","th Sakwa/ Nyawita/ 1580","district of Bondo","Land Title Deed","20November2015","th Sakwa/Nyawita/1580","Nov2015",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2015",1
"78","Bondo",6682,2015-07-31,"GAZETTENOTICENO5549-5636","Lost","th Sakwa/ Nyawita/ 1599","district of Bondo","Land Title Deed","31July2015","th Sakwa/Nyawita/1599","Jul2015",TRUE,-0.1003371,34.2754988,"Siaya","May - Aug, 2015",1
"79","Bondo",5900,2015-11-27,"GAZETTENOTICENO8839","Lost","th Sakwa/ Nyawita/ 1631","district of Bondo","Land Title Deed","27November2015","th Sakwa/Nyawita/1631","Nov2015",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2015",1
"80","Bondo",3210,2015-01-16,"GAZETTENOTICENO194-245","Lost","th Sakwa/ Nyawita/ 168","district of Bondo","Land Title Deed","16January2015","th Sakwa/Nyawita/168","Jan2015",TRUE,-0.1003371,34.2754988,"Siaya","Jan - Apr, 2015",1
"81","Bondo",6200,2014-08-29,"GAZETTENOTICENO6028","Lost","th Sakwa/ Nyawita/ 1725","district of Bondo","Land Title Deed","29August2014","th Sakwa/Nyawita/1725","Aug2014",TRUE,-0.1003371,34.2754988,"Siaya","Apr - Aug, 2014",1
"82","Bondo",3276,2015-10-16,"GAZETTENOTICENO7780","Lost","th Sakwa/ Nyawita/ 1758","district of Bondo","Land Title Deed","16October2015","th Sakwa/Nyawita/1758","Oct2015",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2015",1
"83","Bondo",769,2016-02-05,"GAZETTENOTICENO651","Lost","th Sakwa/ Nyawita/ 1798","district of Bondo","Land Title Deed","05February2016","th Sakwa/Nyawita/1798","Feb2016",TRUE,-0.1003371,34.2754988,"Siaya","Jan - May, 2016",1
"84","Bondo",1896,2015-04-10,"GAZETTENOTICENO2340","Lost","th Sakwa/ Nyawita/ 2110","district of Bondo","Land Title Deed","10April2015","th Sakwa/Nyawita/2110","Apr2015",TRUE,-0.1003371,34.2754988,"Siaya","Jan - Apr, 2015",1
"85","Bondo",2204,2016-03-11,"GAZETTENOTICENO1517","Lost","th Sakwa/ Nyawita/ 2144","district of Bondo","Land Title Deed","11March2016","th Sakwa/Nyawita/2144","Mar2016",TRUE,-0.1003371,34.2754988,"Siaya","Jan - May, 2016",1
"86","Bondo",1058,2014-06-06,"GAZETTENOTICENO3815","Lost","th Sakwa/ Nyawita/ 2342","district of Bondo","Land Title Deed","06June2014","th Sakwa/Nyawita/2342","Jun2014",TRUE,-0.1003371,34.2754988,"Siaya","Apr - Aug, 2014",1
"87","Bondo",3277,2015-10-16,"GAZETTENOTICENO7781","Lost","th Sakwa/ Nyawita/ 2807","district of Bondo","Land Title Deed","16October2015","th Sakwa/Nyawita/2807","Oct2015",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2015",1
"88","Bondo",5899,2015-11-27,"GAZETTENOTICENO8838","Lost","th Sakwa/ Nyawita/ 2859","district of Bondo","Land Title Deed","27November2015","th Sakwa/Nyawita/2859","Nov2015",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2015",1
"89","Bondo",5901,2015-11-27,"GAZETTENOTICENO8840","Lost","th Sakwa/ Nyawita/ 2861","district of Bondo","Land Title Deed","27November2015","th Sakwa/Nyawita/2861","Nov2015",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2015",1
"90","Bondo",1057,2014-06-06,"GAZETTENOTICENO3814","Lost","th Sakwa/ Nyawita/ 2896","district of Bondo","Land Title Deed","06June2014","th Sakwa/Nyawita/2896","Jun2014",TRUE,-0.1003371,34.2754988,"Siaya","Apr - Aug, 2014",1
"91","Bondo",280,2015-01-02,"GAZETTENOTICENO9-62","Lost","th Sakwa/ Nyawita/ 2985 and whereas sufficient evidence has been adduced to show","district of Bondo","Land Title Deed","02January2015","th Sakwa/Nyawita/2985 and whereas sufficient evidence has been adduced to show","Jan2015",TRUE,-0.1003371,34.2754988,"Siaya","Jan - Apr, 2015",1
"92","Bondo",334,2015-10-02,"GAZETTENOTICENO7296","Lost","th Sakwa/ Nyawita/ 3414","district of Bondo","Land Title Deed","02October2015","th Sakwa/Nyawita/3414","Oct2015",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2015",1
"93","Bondo",5367,2014-10-24,"GAZETTENOTICENO7636","Lost","th Sakwa/ Nyawita/ 343","district of Bondo","Land Title Deed","24October2014","th Sakwa/Nyawita/343","Oct2014",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2014",1
"94","Bondo",924,2014-09-05,"GAZETTENOTICENO6166","Lost","th Sakwa/ Nyawita/ 3556","district of Bondo","Land Title Deed","05September2014","th Sakwa/Nyawita/3556","Sep2014",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2014",1
"95","Bondo",2462,2015-06-12,"GAZETTENOTICENO4231-4313","Lost","th Sakwa/ Nyawita/ 4430","district of Bondo","Land Title Deed","12June2015","th Sakwa/Nyawita/4430","Jun2015",TRUE,-0.1003371,34.2754988,"Siaya","May - Aug, 2015",1
"96","Bondo",3127,2014-08-15,"GAZETTENOTICENO5669","Lost","th Sakwa/ Nyawita/ 486","district of Bondo","Land Title Deed","15August2014","th Sakwa/Nyawita/486","Aug2014",TRUE,-0.1003371,34.2754988,"Siaya","Apr - Aug, 2014",1
"97","Bondo",4391,2015-08-21,"GAZETTENOTICENO6133-6172","Lost","th Sakwa/ Nyawita/ 5293","district of Bondo","Land Title Deed","21August2015","th Sakwa/Nyawita/5293","Aug2015",TRUE,-0.1003371,34.2754988,"Siaya","May - Aug, 2015",1
"98","Bondo",569,2016-03-04,"GAZETTENOTICENO1368","Lost","th Sakwa/ Nyawita/ 5344","district of Bondo","Land Title Deed","04March2016","th Sakwa/Nyawita/5344","Mar2016",TRUE,-0.1003371,34.2754988,"Siaya","Jan - May, 2016",1
"99","Bondo",768,2016-02-05,"GAZETTENOTICENO651","Lost","th Sakwa/ Nyawita/ 864","district of Bondo","Land Title Deed","05February2016","th Sakwa/Nyawita/864","Feb2016",TRUE,-0.1003371,34.2754988,"Siaya","Jan - May, 2016",1
"100","Bondo",2525,2014-09-12,"GAZETTENOTICENO6323-6375","Lost","Uyoma/ Kokwiri/ 4269","district of Bondo","Land Title Deed","12September2014","Uyoma/Kokwiri/4269","Sep2014",TRUE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2014",1
"101","Bondo",4649,2014-08-22,"GAZETTENOTICENO5778","Lost","Uyoma/ Naya/ 2831","district of Bondo","Land Title Deed","22August2014","Uyoma/Naya/2831","Aug2014",TRUE,-0.1003371,34.2754988,"Siaya","Apr - Aug, 2014",1
"102","Bondo",597,2016-03-04,"GAZETTENOTICENO1397","Lost","West Uyoma/ Kagwa/ 1496","district of Bondo","Land Title Deed","04March2016","West Uyoma/Kagwa/1496","Mar2016",TRUE,-0.1003371,34.2754988,"Siaya","Jan - May, 2016",1
"103","Bungoma",1184,2015-11-06,"GAZETTENOTICENO8242","Lost","Bokoli/ Bokoli/ 610","district of Bungoma","Land Title Deed","06November2015","Bokoli/Bokoli/610","Nov2015",FALSE,0.5695252,34.5583766,"Bungoma","Sep - Dec, 2015",1
