
				Page: 370GAZETTE NOTICE NO. 1194
THE COMPANIES ACT
(Cap.  486)
Intended Dissolution
PURSUANT  to section 339 (3) of the Companies Act, it is notified that at the expiration of three (3) months from the date the register of companies and the company shall be dissolved.
Number                    Name of Company
161218                         Adili Limited
CPR/2014/150927         African Investment Consultant Company Limited
5125                             Aiyam Limited
CPR/2011/39381           Amicizia Investment Limited
CPR/2011/51624           Doha Group Company Limited
115283                         Dola Limited
14632                           Eva Modell Limited
101118                         Executive and Corporate Advisory Services Kenya Limited
Number                    Name of Company
156328                         Four Star Developers
CPR/2011/59725           Graflochy (E.A.) Investment Company Limited
64003                           Hima Developers Limited
128927                         International Security Consultancy Limitd
75192                           Jaha Limited
168919`                        Kazita Limited
23442                           Kira General Stores
CPR/2014/141682         Mahakali Hardware Limited
148424                         Mes Amis Limited
98374                           Minvod Limited
CPR/2012/86462           Nesim Ingredients Limited
75276                           Nishan Holdings Limited
CPR/2011/64189           Pon Pure Kenya Limited
23588                           Rajoma Limited
CPR/2011/42873           Red Snapper Limited
C 107487                      Rimada Limited
156427                         Rimrock Investments Limited
2963                             Sayani Limited
CPR/2013/113103         Siam Commercial Limited
31453                           Simita Agrico Limited
74675                           Sivoko Springs Limited
138979                         Six Fifty Investments Limited
78053                           Tiomin Kenya Limited
83138                           Topen Industries Limited
CPR/2013/114112         Visionfield Investments Company Limited
164718                         Watermaker East Africa Limited
Dated the 16th February, 2015.
H. NYOKABI,
for Registrar of Companies.

